source,name,desc,url,provider,type
KADX 농식품 공공데이터,지원사업 신청 변경 이력,농림축산식품부 지원사업 신청 변경 이력을 관리하는 정보입니다,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002923,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,지원사업 비료품질 위탁 항목정보,농림축산식품부에서는 지원사업 비료품질 위탁 항목정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002922,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,지원사업 비료품질 실적 정보,농림축산식품부에서는 지원사업 비료품질 실적 정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002921,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,지원사업 비료품질 비종 성분 기준조건 정보,농림축산식품부에서는 지원사업 비료품질 비종 성분 기준조건 정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002920,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,지원사업 마을신청 및 경관보전 이행점검 정보,농림축산식품부에서는 지원사업 마을신청 및 경관보전 이행점검 정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002919,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,지역별 농업경영정보 등록 현황 정보,"농림축산식품부에서 제공하는 농업경영체에 대한 정보로 지자체별 등록된 농업경영체 수의 통계 정보(성별, 외국인 구분)를 제공합니다.",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002918,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,유기질비료지원_시비량 현황정보,농림축산식품부에서는 유기질비료지원_시비량 현황정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002885,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,주요시설설치계획,"농림축산식품부에서 제공하는 주요 시설 설치 정보에 대한 데이터로 사업연도, 시설명, 단가 등의 통계 정보를 제공합니다",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002917,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,지원사업 정산 정보,농림축산식품부에서는 지원사업 정산 정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002925,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,지원사업 후계농 인증 정보,"농림축산식품부에서 제공하는 후계농업인 인증정보로 후계농업인의 품목, 면적 등의 데이터를 제공합니다",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002926,농림수산식품교육문화정보원,OpenAPI product
